ITEMID	KEY	TYPE	CATEGORY	SECTION	DOMAIN	GRADELEVEL	DETAILS
628	CCSS.MATH.CONTENT.HSS.ID.B.6.A	substandard	High School: Statistics and Probability: Interpreting Categorical and Quantitative Data	math-content-standards	Interpreting Categorical and Quantitative Data	9-12	Fit a function to the data; use functions fitted to data to solve problems in the context of the data. Use given functions or choose a function suggested by the context. Emphasize linear, quadratic, and exponential models.
629	CCSS.MATH.CONTENT.HSS.ID.B.6.B	substandard	High School: Statistics and Probability: Interpreting Categorical and Quantitative Data	math-content-standards	Interpreting Categorical and Quantitative Data	9-12	Informally assess the fit of a function by plotting and analyzing residuals.
630	CCSS.MATH.CONTENT.HSS.ID.B.6.C	substandard	High School: Statistics and Probability: Interpreting Categorical and Quantitative Data	math-content-standards	Interpreting Categorical and Quantitative Data	9-12	Fit a linear function for a scatter plot that suggests a linear association.
631	CCSS.MATH.CONTENT.HSS.ID.C	cluster	High School: Statistics and Probability: Interpreting Categorical and Quantitative Data	math-content-standards	Interpreting Categorical and Quantitative Data	9-12	Interpret linear models
632	CCSS.MATH.CONTENT.HSS.ID.C.7	standard	High School: Statistics and Probability: Interpreting Categorical and Quantitative Data	math-content-standards	Interpreting Categorical and Quantitative Data	9-12	Interpret the slope (rate of change) and the intercept (constant term) of a linear model in the context of the data.
633	CCSS.MATH.CONTENT.HSS.ID.C.8	standard	High School: Statistics and Probability: Interpreting Categorical and Quantitative Data	math-content-standards	Interpreting Categorical and Quantitative Data	9-12	Compute (using technology) and interpret the correlation coefficient of a linear fit.
634	CCSS.MATH.CONTENT.HSS.ID.C.9	standard	High School: Statistics and Probability: Interpreting Categorical and Quantitative Data	math-content-standards	Interpreting Categorical and Quantitative Data	9-12	Distinguish between correlation and causation.
635	CCSS.MATH.CONTENT.HSS.IC.A	cluster	High School: Statistics and Probability: Making Inferences and Justifying Conclusions	math-content-standards	Making Inferences and Justifying Conclusions	9-12	Understand and evaluate random processes underlying statistical experiments
636	CCSS.MATH.CONTENT.HSS.IC.A.1	standard	High School: Statistics and Probability: Making Inferences and Justifying Conclusions	math-content-standards	Making Inferences and Justifying Conclusions	9-12	Understand statistics as a process for making inferences about population parameters based on a random sample from that population.
637	CCSS.MATH.CONTENT.HSS.IC.A.2	standard	High School: Statistics and Probability: Making Inferences and Justifying Conclusions	math-content-standards	Making Inferences and Justifying Conclusions	9-12	Decide if a specified model is consistent with results from a given data-generating process, e.g., using simulation.
638	CCSS.MATH.CONTENT.HSS.IC.B	cluster	High School: Statistics and Probability: Making Inferences and Justifying Conclusions	math-content-standards	Making Inferences and Justifying Conclusions	9-12	Make inferences and justify conclusions from sample surveys, experiments, and observational studies
639	CCSS.MATH.CONTENT.HSS.IC.B.3	standard	High School: Statistics and Probability: Making Inferences and Justifying Conclusions	math-content-standards	Making Inferences and Justifying Conclusions	9-12	Recognize the purposes of and differences among sample surveys, experiments, and observational studies; explain how randomization relates to each.
640	CCSS.MATH.CONTENT.HSS.IC.B.4	standard	High School: Statistics and Probability: Making Inferences and Justifying Conclusions	math-content-standards	Making Inferences and Justifying Conclusions	9-12	Use data from a sample survey to estimate a population mean or proportion; develop a margin of error through the use of simulation models for random sampling.
641	CCSS.MATH.CONTENT.HSS.IC.B.5	standard	High School: Statistics and Probability: Making Inferences and Justifying Conclusions	math-content-standards	Making Inferences and Justifying Conclusions	9-12	Use data from a randomized experiment to compare two treatments; use simulations to decide if differences between parameters are significant.
642	CCSS.MATH.CONTENT.HSS.IC.B.6	standard	High School: Statistics and Probability: Making Inferences and Justifying Conclusions	math-content-standards	Making Inferences and Justifying Conclusions	9-12	Evaluate reports based on data.
643	CCSS.MATH.CONTENT.HSS.CP.A	cluster	High School: Statistics and Probability: Conditional Probability and the Rules of Probability	math-content-standards	Conditional Probability and the Rules of Probability	9-12	Understand independence and conditional probability and use them to interpret data
644	CCSS.MATH.CONTENT.HSS.CP.A.1	standard	High School: Statistics and Probability: Conditional Probability and the Rules of Probability	math-content-standards	Conditional Probability and the Rules of Probability	9-12	Describe events as subsets of a sample space (the set of outcomes) using characteristics (or categories) of the outcomes, or as unions, intersections, or complements of other events (`or,` `and,` `not`).
645	CCSS.MATH.CONTENT.HSS.CP.A.2	standard	High School: Statistics and Probability: Conditional Probability and the Rules of Probability	math-content-standards	Conditional Probability and the Rules of Probability	9-12	Understand that two events A and B are independent if the probability of A and B occurring together is the product of their probabilities, and use this characterization to determine if they are independent.
646	CCSS.MATH.CONTENT.HSS.CP.A.3	standard	High School: Statistics and Probability: Conditional Probability and the Rules of Probability	math-content-standards	Conditional Probability and the Rules of Probability	9-12	Understand the conditional probability of A given B as P(A and B)/P(B), and interpret independence of A and B as saying that the conditional probability of A given B is the same as the probability of A, and the conditional probability of B given A is the same as the probability of B.
647	CCSS.MATH.CONTENT.HSS.CP.A.4	standard	High School: Statistics and Probability: Conditional Probability and the Rules of Probability	math-content-standards	Conditional Probability and the Rules of Probability	9-12	Construct and interpret two-way frequency tables of data when two categories are associated with each object being classified. Use the two-way table as a sample space to decide if events are independent and to approximate conditional probabilities.
648	CCSS.MATH.CONTENT.HSS.CP.A.5	standard	High School: Statistics and Probability: Conditional Probability and the Rules of Probability	math-content-standards	Conditional Probability and the Rules of Probability	9-12	Recognize and explain the concepts of conditional probability and independence in everyday language and everyday situations.
649	CCSS.MATH.CONTENT.HSS.CP.B	cluster	High School: Statistics and Probability: Conditional Probability and the Rules of Probability	math-content-standards	Conditional Probability and the Rules of Probability	9-12	Use the rules of probability to compute probabilities of compound events.
650	CCSS.MATH.CONTENT.HSS.CP.B.6	standard	High School: Statistics and Probability: Conditional Probability and the Rules of Probability	math-content-standards	Conditional Probability and the Rules of Probability	9-12	Find the conditional probability of A given B as the fraction of B's outcomes that also belong to A, and interpret the answer in terms of the model.
651	CCSS.MATH.CONTENT.HSS.CP.B.7	standard	High School: Statistics and Probability: Conditional Probability and the Rules of Probability	math-content-standards	Conditional Probability and the Rules of Probability	9-12	Apply the Addition Rule, P(A or B) = P(A) + P(B) - P(A and B), and interpret the answer in terms of the model.
652	CCSS.MATH.CONTENT.HSS.CP.B.8	standard	High School: Statistics and Probability: Conditional Probability and the Rules of Probability	math-content-standards	Conditional Probability and the Rules of Probability	9-12	(+) Apply the general Multiplication Rule in a uniform probability model, P(A and B) = P(A)P(B|A) = P(B)P(A|B), and interpret the answer in terms of the model.
653	CCSS.MATH.CONTENT.HSS.CP.B.9	standard	High School: Statistics and Probability: Conditional Probability and the Rules of Probability	math-content-standards	Conditional Probability and the Rules of Probability	9-12	(+) Use permutations and combinations to compute probabilities of compound events and solve problems.
654	CCSS.MATH.CONTENT.HSS.MD.A	cluster	High School: Statistics and Probability: Using Probability to Make Decisions	math-content-standards	Using Probability to Make Decisions	9-12	Calculate expected values and use them to solve problems
655	CCSS.MATH.CONTENT.HSS.MD.A.1	standard	High School: Statistics and Probability: Using Probability to Make Decisions	math-content-standards	Using Probability to Make Decisions	9-12	(+) Define a random variable for a quantity of interest by assigning a numerical value to each event in a sample space; graph the corresponding probability distribution using the same graphical displays as for data distributions.
656	CCSS.MATH.CONTENT.HSS.MD.A.2	standard	High School: Statistics and Probability: Using Probability to Make Decisions	math-content-standards	Using Probability to Make Decisions	9-12	(+) Calculate the expected value of a random variable; interpret it as the mean of the probability distribution.
657	CCSS.MATH.CONTENT.HSS.MD.A.3	standard	High School: Statistics and Probability: Using Probability to Make Decisions	math-content-standards	Using Probability to Make Decisions	9-12	(+) Develop a probability distribution for a random variable defined for a sample space in which theoretical probabilities can be calculated; find the expected value.
658	CCSS.MATH.CONTENT.HSS.MD.A.4	standard	High School: Statistics and Probability: Using Probability to Make Decisions	math-content-standards	Using Probability to Make Decisions	9-12	(+) Develop a probability distribution for a random variable defined for a sample space in which probabilities are assigned empirically; find the expected value.
659	CCSS.MATH.CONTENT.HSS.MD.B	cluster	High School: Statistics and Probability: Using Probability to Make Decisions	math-content-standards	Using Probability to Make Decisions	9-12	Use probability to evaluate outcomes of decisions
